VS: Country/Territory,VS: Bodytype,VS: Sales Brand,VS: Regional Origin,VS: Market,VS: Region,VS: Sales Region,VS: Sales Group,VS: Sales Parent,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023
Germany,Chassis-Cab,Isuzu,Domestic,West Europe,Europe,West Europe,Isuzu,Isuzu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Germany,Chassis-Cab,Isuzu,Import,West Europe,Europe,West Europe,Isuzu,Isuzu,1,4,3,1,1,6,0,5,6,4,3,1,12,4,5,2,0,2,5,7,1,4,6,5,3,7,4,3,7,5,5,3,4,7,2,4
Germany,Chassis-Cab,Kia,Import,West Europe,Europe,West Europe,Hyundai,Hyundai,2,0,0,0,12,11,10,9,14,9,8,16,2,16,9,11,13,8,7,11,5,3,5,2,16,26,23,32,12,12,7,2,13,8,9,6
Germany,Chassis-Cab,Mitsubishi Fuso,Domestic,West Europe,Europe,West Europe,Daimler Truck,Daimler Truck,52,37,32,36,25,51,31,30,30,44,34,33,37,37,27,26,37,35,24,34,28,34,38,51,40,58,43,28,36,25,62,58,41,63,94,58
Germany,Chassis-Cab,Mitsubishi Fuso,Import,West Europe,Europe,West Europe,Daimler Truck,Daimler Truck,25,32,24,28,15,31,18,23,34,50,25,25,17,22,34,37,28,36,25,32,22,42,28,22,34,30,33,32,45,37,26,27,33,48,76,23
Germany,Chassis-Cab,Multicar,Domestic,West Europe,Europe,West Europe,Multicar,MNV,13,29,26,31,16,23,34,29,28,18,46,97,75,68,76,125,69,72,94,126,63,60,85,136,74,63,70,137,49,106,73,118,99,99,108,137
Germany,Chassis-Cab,Nissan,Domestic,West Europe,Europe,West Europe,Nissan,Renault-Nissan-Mitsubishi,157,171,122,122,88,144,202,108,165,114,147,112,113,82,99,84,91,102,133,134,122,94,96,90,62,0,0,0,1,0,1,1,1,0,0,0
Germany,Chassis-Cab,Renault Trucks,Domestic,West Europe,Europe,West Europe,Renault Trucks,Volvo Group Global,18,124,192,232,174,362,389,145,140,180,93,3,4,4,2,9,7,1,4,1,1,0,0,1,1,0,0,0,0,1,9,0,0,0,0,1
Germany,Chassis-Cab,Toyota,Domestic,West Europe,Europe,West Europe,Toyota,Toyota,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Alpina,Domestic,West Europe,Europe,West Europe,Alpina,Alpina,11,29,22,18,15,25,23,7,6,7,11,9,15,24,23,1,6,12,7,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Germany,Convertible,Aston Martin,Domestic,West Europe,Europe,West Europe,Aston Martin,Aston Martin,4,10,3,5,8,8,6,3,14,13,4,3,5,27,39,13,18,23,20,17,28,28,39,26,18,10,17,13,23,25,22,7,17,25,23,12
Germany,Convertible,Audi,Domestic,West Europe,Europe,West Europe,Audi,Volkswagen,3217,3581,1051,1145,3040,4875,1932,1115,2095,3216,1672,967,2586,3925,1492,324,2171,2732,1231,331,1426,1763,1527,519,558,890,472,269,614,979,566,272,406,975,728,731
Germany,Convertible,Bentley,Domestic,West Europe,Europe,West Europe,Audi,Volkswagen,30,47,26,21,33,46,30,16,25,35,45,55,47,23,21,13,9,83,109,14,57,40,24,29,22,39,29,38,58,76,46,26,63,52,34,24
Germany,Convertible,BMW,Domestic,West Europe,Europe,West Europe,BMW,BMW,2864,4602,3819,1629,3061,5113,2098,1662,2297,3343,2392,1406,2948,3810,1801,1275,2150,3501,1988,977,1195,1386,1591,784,908,3048,1963,926,1326,1633,1344,1027,1395,2170,953,513
Germany,Convertible,Chevrolet,Import,West Europe,Europe,West Europe,General Motors,General Motors,2,24,19,5,8,9,30,21,27,102,94,31,62,128,88,63,69,140,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Chrysler,Import,West Europe,Europe,West Europe,FCA,Stellantis,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Citroen,Domestic,West Europe,Europe,West Europe,PSA,Stellantis,0,0,0,0,0,10,0,0,5,2,14,0,5,7,2,2,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,DS,Domestic,West Europe,Europe,West Europe,PSA,Stellantis,140,104,62,56,63,158,99,193,86,125,98,78,82,52,34,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Ferrari,Domestic,West Europe,Europe,West Europe,Ferrari,Ferrari,48,69,49,21,32,74,43,13,40,50,28,5,9,33,93,40,55,90,78,50,85,77,60,12,9,20,24,19,20,55,52,24,55,70,52,18
Germany,Convertible,Fiat,Domestic,West Europe,Europe,West Europe,FCA,Stellantis,2024,2686,2013,1920,1307,2006,1746,1211,1890,2874,1728,1327,2352,2496,1713,774,532,660,342,483,277,201,310,2070,205,331,207,200,233,170,96,229,80,0,0,0
Germany,Convertible,Ford,Import,West Europe,Europe,West Europe,Ford,Ford,105,78,223,318,722,625,503,216,608,999,393,492,149,350,493,185,427,473,423,127,277,263,343,225,76,226,84,128,106,117,90,372,85,346,190,20
Germany,Convertible,Infiniti,Import,West Europe,Europe,West Europe,Nissan,Renault-Nissan-Mitsubishi,6,11,5,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Jaguar,Domestic,West Europe,Europe,West Europe,Tata,Tata,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Lancia,Import,West Europe,Europe,West Europe,FCA,Stellantis,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Land Rover,Domestic,West Europe,Europe,West Europe,Tata,Tata,0,0,0,0,0,0,113,223,391,444,260,164,183,118,126,102,334,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Convertible,Lexus,Import,West Europe,Europe,West Europe,Toyota,Toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,35,39,37,23,7,21,20,9,14,28,17,4,8
