VS: Country/Territory,VS: Bodytype,VS: Sales Brand,VS: Regional Origin,VS: Market,VS: Region,VS: Sales Region,VS: Sales Group,VS: Sales Parent,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023
Mainland China,Chassis-Cab,Beijing Auto,Domestic,China,Greater China,Greater China,BAIC,BAIC,589,439,371,2605,3214,2641,2077,2942,945,307,2806,1696,1303,2188,1334,2538,1861,1967,1940,2261,963,1173,1940,1821,557,669,121,754,238,1144,1063,433,725,872,940,919
Mainland China,Chassis-Cab,BYD,Domestic,China,Greater China,Greater China,BYD,BYD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6550,53,14,85,73,29,37,297,306,423,990,1111,1141,261,81,50,20,3355,1704,947,159
Mainland China,Chassis-Cab,Changan,Domestic,China,Greater China,Greater China,Changan,Changan,48687,22818,17222,18516,26042,26476,21413,22624,42186,28094,31893,35063,59931,58987,47481,50600,54975,53312,43088,58632,24659,62193,49106,46109,59812,43241,38377,36912,56493,34670,34901,40924,46501,44667,38932,33959
Mainland China,Chassis-Cab,Changhe,Domestic,China,Greater China,Greater China,BAIC,BAIC,2982,3696,1828,2430,1426,4122,1703,1859,2613,4443,3896,3485,2042,4736,3588,4340,2845,2932,1353,6101,3188,3359,2513,983,1558,1591,1124,1484,132,1576,1000,679,0,0,0,3
Mainland China,Chassis-Cab,Changzheng,Domestic,China,Greater China,Greater China,Changzheng Auto,Changzheng Auto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14
Mainland China,Chassis-Cab,Chengdu Wangpai,Domestic,China,Greater China,Greater China,CNHTC,CNHTC,16774,13430,8088,13379,16453,16589,16031,20988,22253,22732,21626,27981,26748,30430,26059,34607,30959,20206,15833,28475,21856,52733,50318,45371,31385,28274,21296,28409,22535,17242,17886,13107,23598,19422,19295,21570
Mainland China,Chassis-Cab,China First Tractor,Domestic,China,Greater China,Greater China,China First Tractor,China First Tractor,491,518,82,195,1141,1529,1481,1678,1267,1299,1134,554,274,408,381,439,390,401,445,204,106,196,225,125,117,152,141,52,17,25,20,40,19,21,19,7
Mainland China,Chassis-Cab,Chuanlu,Domestic,China,Greater China,Greater China,Sichuan Yinhe Machinery,Sichuan Yinhe Machinery,3923,5334,3826,4490,4642,5292,4234,10374,5109,6321,5484,13184,5506,7715,6116,7427,5414,7050,5690,7640,4027,8760,6861,8454,4955,9111,4717,3844,4018,4824,2314,1531,2730,6188,4108,2783
Mainland China,Chassis-Cab,Dongfeng,Domestic,China,Greater China,Greater China,Dongfeng,Dongfeng,31202,40117,30319,34179,32840,44333,30578,44915,44487,49348,44039,54473,49322,54249,41375,50102,60042,52490,48144,65561,38842,85216,70607,77941,69521,89789,60647,59859,63666,54262,45061,49174,52999,54601,58992,71580
Mainland China,Chassis-Cab,Farizon,Domestic,China,Greater China,Greater China,Geely,Geely,0,0,0,0,105,190,140,217,446,334,1422,3225,314,557,823,3055,265,4040,43,2389,174,354,297,3141,1479,3857,4508,7435,5216,9522,13797,17939,3032,3767,5592,10261
