VS: Country/Territory,VS: Bodytype,VS: Sales Brand,VS: Regional Origin,VS: Market,VS: Region,VS: Sales Region,VS: Sales Group,VS: Sales Parent,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023
Singapore,Chassis-Cab,Hino,Import,ASEAN,South Asia,ASEAN,Hino,Toyota,34,58,126,140,134,159,133,128,92,87,119,59,40,103,107,135,102,132,141,112,118,41,90,123,115,107,120,132,123,146,120,180,164,80,134,118
Singapore,Chassis-Cab,Isuzu,Import,ASEAN,South Asia,ASEAN,Isuzu,Isuzu,112,139,328,326,90,88,93,57,61,50,70,88,34,74,46,120,76,52,50,59,70,17,53,46,122,3,1,0,4,5,15,11,5,1,0,34
Singapore,Chassis-Cab,JAC,Import,ASEAN,South Asia,ASEAN,Jianghuai,Jianghuai,0,0,5,12,6,12,6,6,5,5,9,22,1,0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Chassis-Cab,Kia,Import,ASEAN,South Asia,ASEAN,Hyundai,Hyundai,22,15,43,27,26,20,18,33,20,16,57,13,45,49,31,37,67,95,43,33,37,12,35,36,32,4,5,0,4,7,0,0,0,0,0,11
Singapore,Chassis-Cab,Mitsubishi Fuso,Domestic,ASEAN,South Asia,ASEAN,Daimler Truck,Daimler Truck,2,3,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Chassis-Cab,Mitsubishi Fuso,Import,ASEAN,South Asia,ASEAN,Daimler Truck,Daimler Truck,184,218,331,547,78,112,106,105,103,46,104,45,2,56,48,56,83,97,93,99,63,16,83,63,52,1,3,8,5,1,0,0,6,1,3,20
Singapore,Chassis-Cab,Nissan,Import,ASEAN,South Asia,ASEAN,Nissan,Renault-Nissan-Mitsubishi,140,122,653,359,243,280,207,213,246,469,414,494,87,229,265,286,216,264,270,190,211,67,193,115,44,303,170,45,8,24,35,25,23,8,14,7
Singapore,Chassis-Cab,Suzuki,Domestic,ASEAN,South Asia,ASEAN,Suzuki,Suzuki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Singapore,Chassis-Cab,Toyota,Import,ASEAN,South Asia,ASEAN,Toyota,Toyota,414,612,521,601,353,175,231,236,431,326,534,240,205,380,344,393,325,234,252,220,236,112,409,416,1099,94,229,234,249,246,200,192,164,11,23,122
Singapore,Convertible,Aston Martin,Import,ASEAN,South Asia,ASEAN,Aston Martin,Aston Martin,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Convertible,Audi,Import,ASEAN,South Asia,ASEAN,Audi,Volkswagen,44,37,34,39,26,32,25,4,8,6,7,5,9,5,4,8,4,1,4,1,1,1,1,2,3,1,0,0,9,0,0,0,0,0,0,0
Singapore,Convertible,BMW,Import,ASEAN,South Asia,ASEAN,BMW,BMW,40,59,47,56,39,41,37,21,23,16,33,35,20,22,24,19,14,29,26,13,5,1,0,4,10,0,6,0,0,0,0,0,4,6,6,6
Singapore,Convertible,Ferrari,Import,ASEAN,South Asia,ASEAN,Ferrari,Ferrari,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4,2,3,2,5,2,0,3,6,0,1,3,0,2,0,0,0,1
