date_received,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
03/26/2015,Unexpected/Other fees,,"I started their program in XXXX of 2012. I believe they processed illegal advance fees, is association with the Law Firm Credit Advocates. 
XXXX XXXX Debt SpecialistXXXX XXXX, FL XXXX : XXXX Ext. XXXX : XXXX : XXXXXXXXXXXX entire fee schedule for Global Client Solutions and XXXX was paid prior to the settlement of the first accounts. 
",,Global Client Solutions,CA,931XX,,Consent provided,Web,03/31/2015,Closed with explanation,Yes,No,1302257
04/03/2015,Managing the loan or lease,,"Since XXXX XXXX, XX/XX/2015, I have unsuccessfully attempted to have an electronic lien removed from a Florida electronic title. Sun Trust Bank has submitted written title releases, but refuses to remove the lien electronically. Due to its failure to do so, I can not obtain a paper title. 
",Company chooses not to provide a public response,"SunTrust Banks, Inc.",FL,337XX,Older American,Consent provided,Web,04/06/2015,Closed with explanation,Yes,No,1314932
03/28/2015,Can't stop charges to bank account,Can't stop charges to bank account,"Cash Central ran their debit through my Bank account at XXXX XXXX in XXXX, Al every single day to hurt me because the payment was late. you ruined my Bank account and the Bank closed my account because Cash Central was trying to hurt me by running charges up on me through my Bank trying to get their money. The debit was due on a certain date of the month but you debited my account on another day and kept debiting my account and ran hundreds of dollars up on me that I had to pay to the Bank. This was not our agreement but you did it anyway. I never told you to run your debit through my account every single day. Every single day the Bank was charging me Bank fees for each time the debit came through. you ruined my Bank account and they closed my Bank account because of Cash Central. I have never seen any thing like this before in my whole life. Just because the loan was late this is what you did and that caused my Bank account to be closed. If you had wanted your money that bad you could have contacted me and I would have told you what the problem was but no you did what you wanted to do to ruin me. I am very disappointed in what you did to my Bank account but what do you care the account was not yours. You ca n't get paid like that because the fees the Bank charged went to the Bank and not to you. This is why you did n't get any money because you were trying to be smart and trying to hurt me, well you did a very good job of ruining my credit with the Bank. Now you ca n't get any money now. This was not the way a Company suppose to handle situations like this. You do n't try to hurt Customers by doing this. All you have done was hurt your selves by running charges up on me and this caused you not to get your money, this was not smart at all but I guest you thought it was smart but it did not work out the way you wanted it to work. I will let everyone know what you did so they can be aware of your Company. No one needs this kind of action. This was not the professional way to get your money. Hurting Customers is not handle this way. Arrangements is the answer. I will let everyone know what you did to me to they can be aware of your tactics. This is not smart nor is it legal to do what you did to my Bank account I do n't care if I owed you a {$1000.00} dollars this was not the proper way to handle this situation. It was wrong what you did but I will tell everyone how you operate when it comes to borrowing money from you. You should be held liable for your actions. I paid out more money than what I owed you this was unprofessional on your part. All you needed to do was call me and we could have set up some type of arrangements but no you had to caused my account to be closed. I assume you thought this was smart but it was n't, all you did was hurt your selves. Everyone will know what you did because I will spill it to every XXXX and they will know. The every day phone calls was unprofessional as well. I would have made arrangements to pay you but no you ran your debit through my account every single day until you lost out on your money, this could have been your money but no you was being smart well at least you thought you were being smart. Now you have to get {$4.00} or {$5.00} dollars a month for as long as it take to pay you. I had not plan on doing this but you caused all of this by the fees the Bank was charging me every day your debit came through my account. This is all your fault. I never would have done this but you made me do this by trying to be smart by running your debit through my account every single day. Now you have to suffer like me until I can pay you your money. I feel I owe you nothing because of all the money you caused me to have to pay my Bank. The money I had to pay the bank was just ridiculous it made no sense for you to run your debit through my account like this but this is what you wanted to do so suffer like me. 
",,"Community Choice Financial, Inc.",AL,351XX,Older American,Consent provided,Web,04/01/2015,Closed with explanation,Yes,No,1306105
03/29/2015,Deposits and withdrawals,,"Chase suddenly charged us a {$20.00} service fee for our checking account. We have had this checking account for 10 years. When called and questioned, a Chase representative finally advised that we will be charged a service charge since we paid off our mortgage. 
",,JPMorgan Chase & Co.,IN,461XX,Older American,Consent provided,Web,03/29/2015,Closed with explanation,Yes,No,1306283
04/06/2015,Credit monitoring or identity protection,Problem cancelling or closing account,"When requesting our annual credit reports we also will pay to receive our Credit Score at the time of the report. Experian does not properly disclose ( uses "" mouse print '' ) that when you pay {$4.00} for the credit score you will be automatically enrolled in a credit score monitoring membership that the consumer is responsbile for calling within a 30 day window to cancel without charge ( {$19.00} per person/per month ). There is no acknowledgement required on behalf of the customer that you agree to this - other than indicating you want to get your credit score. I have been charged for both myself and my husband in XXXX and XXXX 2015 after pulling our initial credit reports and scores in XXXX 2015. I contacted Experian today and they canceled my "" membership '' and after I mentioned I would be filing a complaint with the CFPB they were "" able to refund one month of charges '' but that would be all. I work for a financial institution and I find it appalling that Experian is able to do this to consumers without requiring their confirmation/acknowledgement of accepting the service and the associated charges. 
",Company chooses not to provide a public response,Experian,AL,351XX,,Consent provided,Web,04/06/2015,Closed with monetary relief,Yes,No,1317346
03/24/2015,Dealing with my lender or servicer,Received bad information about my loan,"I received a private student loan from XXXX XXXX ( now called Navient ) for XXXX, XXXX, and XXXX. When I XXXX I had the loans consolidated in XXXX XXXX through XXXX ( now called XXXX XXXX XXXX ). I was still paying off federal loans through Navient, and in XXXX my student loan payment increased and I thought it was because my federal loan repayment plan changed. I continued to pay through XXXX. 

After speaking to a financial advisor and looking at all my documents they said that I have been paying XXXX companies for the same private loan. I was shocked and upset. I called Navient and they told me they had no record of a consolidation filed. I then contacted XXXX XXXX XXXX and sent Navient copies of the cleared checks they received and all of a sudden it showed up on their documents. When I last spoke with a representative from Navient they changed their story saying there was a consolidation and that what I have been paying for since XXXX is the interest due on the private loans. That makes no sense, because the consolidation from XXXX covered all my private loans thus I would have no accrued interest owed to them. I have contacted Navient saying I will not pay the rest of the balance because I have been charged by mistake, and sent them all the correct documents, yet they continue to call me everyday. 
",,"Navient Solutions, Inc.",CA,946XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1298419
04/13/2015,Payoff process,,"The conversation I had with the American Express credit card company was confusing as far as the exact numbers go, so the numbers I 'm using will not be exact but the way the CC company handled it should be obvious. I had a balance due in XXXX. I paid part of the balance ( more than the minimum ). I made a purchase of {$3000.00} in XXXX. In XXXX I paid {$3100.00} on a balance of {$3100.00} making my balance due of {$15.00}. My statement for the amount due in XXXX showed an interest charge of {$28.00}. It looked odd to me that {$28.00} would be charged on a {$15.00} balance. I called the company. They told me that it is a "" trailing interest '' charge. Because there was a balance from the previous month ( I 'm thinking the {$15.00} ) that, even though I paid them {$3100.00} they were going to charge me interest on the {$3100.00}. In other words they are charging me interest on money that I have already paid. I asked the lady from the CC company if that was accurate and she said, yes, because the previous month 's balance was not paid in full they would use their '' trailing interest '' policy to charge me interest on money I had already paid them. Is it legal for them to do this? To my knowledge, none of the other CC companies I deal with operate in this manner. 
",,Amex,OK,741XX,Older American,Consent provided,Web,04/13/2015,Closed with explanation,Yes,Yes,1327855
04/14/2015,Payment to acct not credited,Payment to acct not credited,"I have paid for a pay day loan XXXX and now am being sued claiming I did not pay for the loan. I have been called XXXX times regarding this same loan that I have paid and now XXXX Mediation has made a claim that I still owe {$400.00} and if am sued in court they are seeking {$2900.00}. They do not care that I have letters that claim I have paid for this loan 
",,CNG Financial Corporation,VA,234XX,,Consent provided,Web,04/14/2015,Closed with explanation,Yes,No,1329349
04/14/2015,Problems caused by my funds being low,,"Chase charged XXXX overdraft fees for XXXX check for {$1200.00} that overdrew the account. The acount has reverse positive pay and the item should have been pending for review before payment. 
",,JPMorgan Chase & Co.,IL,606XX,,Consent provided,Web,04/14/2015,Closed with explanation,Yes,No,1329356
03/25/2015,Identity theft / Fraud / Embezzlement,,"This was a complaint filed in 2014 and I NEVER received any emails from you and I never received XXXX phone call from Barclay. They have not reduced my credit card rate, I was promised i would not have to pay any interest or late fees. they have done nothing to help me except provide legal aid this is a joke. every other credit card helped me and this one will not. they are affecting my credit report severely and i can not believe that they sent generated responses as well. i have managed to pay down this card from XXXX to XXXX with late fees and interest. i am on XXXX the XXXX is not mine. they are absolutely not helping or taking responsibility that they were required by the law to provide the phone number of the woman that forced closed my account and gave a phone number. they allowed themselves to give out information to someone pretending to be me. they are rude vindictive and need to backtrack and remove all fees accrued because at this point the card would be paid and i want the negative score off of my credit report. i already sent them XXXX letters the next XXXX will be certified and they have 30 days to do so by law or the credit reporting agency has to remove it from my report. 
",Company chooses not to provide a public response,Barclays PLC,MA,016XX,,Consent provided,Web,03/30/2015,Closed with monetary relief,Yes,No,1299695
